BATCH,ANIMAL.ID,STRAIN,TREATMENT,TotDist,MovTime,VMovNo,MrgDist,CtrDist,PctCenter
2,23,C57BL/6J,SHAM,1886,192.4,52,1359,528,10.2167
2,24,C57BL/6J,OVX,1918,162.3,73,1287,630,14.05
2,25,CBA/J,SHAM,736,97.6,0,670,67,9.5
2,26,CBA/J,OVX,1128,125,1,973,154,12.6167
2,27,CBA/J,SHAM,447,58,2,447,0,0
2,28,CBA/J,OVX,627,83.6,0,604,23,3.4333
2,29,DBA/2J,SHAM,576,65.7,17,576,0,0
2,30,DBA/2J,OVX,719,71.7,19,718,1,0.0167
2,31,DBA/2J,OVX,106,16.9,2,100,6,1.0167
2,32,DBA/2J,SHAM,2100,156.3,31,2000,101,2.3833
2,33,FVB/NJ,SHAM,3253,206.8,109,2243,1010,13.3833
2,34,FVB/NJ,OVX,3205,204.1,94,2404,802,10.2667
2,35,FVB/NJ,SHAM,2161,164.6,110,1390,770,13.2167
2,36,FVB/NJ,OVX,2569,193.8,107,1636,931,16.3
2,37,LP/J,SHAM,1865,153.1,34,1609,255,4.1
2,38,LP/J,OVX,1443,113.3,26,1348,96,2.0667
2,39,LP/J,SHAM,765,84.3,1,762,3,0.9
2,40,LP/J,OVX,1038,92.3,10,1019,18,0.6167
2,41,NOD/ShiLtJ,SHAM,1960,158.1,95,1251,708,11.75
2,42,NOD/ShiLtJ,OVX,2831,243.8,78,1627,1202,16.2167
2,43,NOD/ShiLtJ,OVX,2995,227.7,91,1757,1237,16.7
2,44,NOD/ShiLtJ,SHAM,2836,189.5,81,2404,433,5.2667
3,45,C57BL/6J,SHAM,3449,282.9,78,2359,1090,16.1333
3,46,C57BL/6J,OVX,1601,137.3,57,1216,385,7.2
3,47,C57BL/6J,SHAM,2009,168.1,66,1639,368,6.5167
3,48,C57BL/6J,OVX,575,62.5,5,527,48,0.8167
3,49,PL/J,OVX,2940,247,92,2447,492,8.1833
3,52,PL/J,SHAM,3165,230.3,111,2471,693,9.2667
3,53,SJL/J,SHAM,1852,171.1,68,1474,378,8.9167
3,54,SJL/J,SHAM,1261,126.3,55,1102,158,2.6667
3,55,SJL/J,OVX,970,75.6,50,799,172,3.2667
3,56,SJL/J,OVX,1777,151.7,82,1505,272,6.75
3,57,SM/J,SHAM,2852,228.9,55,2279,573,13.1333
3,58,SM/J,OVX,2989,230.4,45,2698,291,4.7833
3,59,SM/J,SHAM,2378,186,49,2157,221,4.4667
3,60,SM/J,OVX,2337,198.3,3,2133,203,4.6
3B,61,NOR/LtJ,SHAM,3822,314.1,63,2069,1754,25.0833
3B,62,NOR/LtJ,OVX,2792,265.3,81,1243,1546,31.6833
3B,63,NOR/LtJ,SHAM,4516,317.4,120,2437,2080,28.5333
3B,64,NOR/LtJ,OVX,2091,229.3,10,949,1143,41.4
4,65,C57BL/6J,SHAM,2899,232.3,87,1990,909,15.1667
4,66,C57BL/6J,OVX,1905,180.7,57,1488,418,8.4
4B,67,C57L/J,OVX,1566,131.4,68,1110,456,12.0333
4B,68,C57L/J,SHAM,2067,191.5,83,1588,479,13.6167
4B,69,C57L/J,SHAM,2329,206.1,96,1379,950,28.7167
4B,70,C57L/J,OVX,1857,136.5,100,1506,352,5.3
4,71,NON/ShiLtJ,SHAM,1902,195.6,61,1160,743,17.7
4,72,NON/ShiLtJ,OVX,1734,173.2,48,1118,616,25.9333
4,73,NON/ShiLtJ,OVX,1817,184.4,53,1270,546,14.5333
4,74,NON/ShiLtJ,SHAM,1810,165.6,49,1196,615,12.4667
4,75,NZW/LacJ,SHAM,2069,189.1,61,1818,250,4.8
4,76,NZW/LacJ,OVX,1389,139.1,36,1288,102,2.1833
4,77,NZW/LacJ,SHAM,1385,180.8,31,1138,245,9.5833
4,78,NZW/LacJ,OVX,1352,131.9,45,1158,193,7.4333
4,79,SWR/J,OVX,1605,154.5,85,1167,438,17.0167
4,80,SWR/J,SHAM,2435,220.9,107,1732,702,11.1
4,83,129S1/SvlmJ,SHAM,221,31.3,0,221,0,0
4,84,129S1/SvlmJ,OVX,445,61.4,1,445,0,0
4,85,129S1/SvlmJ,SHAM,78,18.6,0,70,8,0.6
4,86,129S1/SvlmJ,OVX,65,9.7,0,61,4,24.2
5,87,A/J,SHAM,894,125.3,4,875,19,0.8167
5,88,A/J,OVX,827,107.4,10,736,92,7.1
5,89,A/J,OVX,600,83.8,7,599,1,0.2667
5,90,A/J,SHAM,646,87.1,9,639,7,2.0333
5,91,AKR/J,OVX,2975,234,21,2751,225,9.2667
5,92,AKR/J,SHAM,2867,242.5,48,2647,221,6.6167
5,93,AKR/J,SHAM,2167,185.7,51,1943,224,5.25
5,94,AKR/J,OVX,2289,202.6,32,1812,478,10.5
5,101,MRL/MpJ,SHAM,2124,190.2,80,1695,427,9.35
5,102,MRL/MpJ,OVX,1975,184.7,76,1477,498,8.5
5,103,MRL/MpJ,OVX,1562,160.8,61,1362,200,6.25
5,104,MRL/MpJ,SHAM,2513,203,104,2155,360,6.85
6,109,CBA/J,OVX,187,23.3,1,179,8,1.0833
6,110,CBA/J,SHAM,435,61.6,11,417,18,2.7667
6,111,CBA/J,SHAM,736,86.7,21,664,72,8.65
6,112,CBA/J,OVX,406,45,1,332,72,9.2833
6,113,DBA/2J,SHAM,1282,125.1,33,1261,21,1.1333
6,114,DBA/2J,SHAM,1353,107,33,1254,99,4.2333
6,115,DBA/2J,OVX,1024,96.4,28,954,70,2.1167
6,116,DBA/2J,OVX,1692,120.9,59,1608,85,2.7333
6,117,LP/J,SHAM,2556,226.8,37,2272,284,4.6167
6,118,LP/J,OVX,1095,108.8,20,981,114,2.8667
6,119,LP/J,OVX,1032,106.9,11,929,106,2.8167
6,120,LP/J,SHAM,1598,118.5,38,1515,83,2.4
6,121,C57BL/6J,SHAM,3339,286.2,70,2499,839,11.4
6,122,C57BL/6J,OVX,2166,187.6,39,1752,413,6.3167
6,123,NOD/ShiLtJ,SHAM,4018,254.5,120,2843,1174,13.2333
6,124,NOD/ShiLtJ,OVX,2545,198.6,127,1469,1076,28.35
6,125,NOD/ShiLtJ,SHAM,3247,222.4,115,1768,1481,21.5333
6,126,NOD/ShiLtJ,OVX,2632,189.9,92,1629,1003,13.7
6,127,FVB/NJ,OVX,2674,213.1,113,1732,942,13.35
6,128,FVB/NJ,SHAM,2260,189.2,122,1319,939,21.1833
6,129,FVB/NJ,SHAM,2830,226.3,104,1885,945,13.6167
6,130,FVB/NJ,OVX,2257,176,96,1727,532,7.5667
7,133,C57BL/6J,SHAM,2641,217,67,2061,581,8.95
7,134,C57BL/6J,SHAM,2628,228.5,81,1857,770,19.8667
7,135,NOR/LtJ,SHAM,3495,226.9,63,2743,754,10.5833
7,136,NOR/LtJ,OVX,3060,258.7,56,1658,1403,24.4167
7,137,NOR/LtJ,SHAM,1999,178.4,14,1639,358,8.6667
7,139,PL/J,SHAM,2281,186.2,106,1601,679,11.7833
7,140,PL/J,SHAM,2946,256.7,81,2185,762,11.9833
7,141,PL/J,OVX,3049,219.9,105,2256,794,13.6333
7,143,SJL/J,OVX,1209,129.3,35,1138,72,3.3667
7,144,SJL/J,OVX,1601,143.4,68,1192,408,9.9667
7,145,SJL/J,SHAM,1953,187.7,48,1688,265,7.3167
7,146,SJL/J,SHAM,1044,107.5,50,1001,41,1.7833
7,147,SM/J,SHAM,3201,222,49,2570,631,11.5667
7,148,SM/J,SHAM,2147,187.5,23,1871,276,5.8833
7,149,SM/J,OVX,3076,242,26,2716,359,5.7667
7,150,SM/J,OVX,2771,226.5,27,2397,373,5.7167
8,151,A/J,SHAM,104,19.6,24,104,0,0
8,152,A/J,SHAM,1041,122.3,25,910,129,8.8667
8,153,A/J,OVX,167,28.3,1,167,0,0
8,154,A/J,OVX,425,59.2,14,425,0,0
8,155,C57BL/6J,OVX,2924,223.2,91,1800,1123,11.75
8,156,C57BL/6J,SHAM,3173,292.3,82,2128,1044,16.4667
8,158,SWR/J,SHAM,2281,186.7,111,1528,756,20.7833
8,159,SWR/J,OVX,1433,154.1,97,815,618,15.15
8,160,SWR/J,OVX,1986,171.8,93,1372,612,13
8,161,129S1/SvlmJ,OVX,789,111,0,765,25,1.5833
8,162,129S1/SvlmJ,SHAM,1279,111.1,13,1279,0,0
8,163,129S1/SvlmJ,OVX,514,77.7,4,514,0,0
8,164,129S1/SvlmJ,SHAM,212,34.2,0,212,0,0.7833
8B,165,AKR/J,SHAM,1915,202,44,1828,86,4.85
8B,166,AKR/J,SHAM,2820,249,86,1952,868,17.6667
8B,167,AKR/J,OVX,1720,168.7,29,1665,55,1.8667
8B,168,AKR/J,OVX,2188,175.7,82,1773,414,12.3833
9,169,BALB/cByJ,OVX,2022,183.9,94,1492,530,7.5167
9,170,BALB/cByJ,SHAM,2239,226.9,12,1984,254,5.2
9,171,BALB/cByJ,OVX,197,29.8,8,197,0,0
9,172,BALB/cByJ,SHAM,2231,203.2,24,2124,107,2.1
9,179,BTBR T+tf/J,SHAM,2812,205,56,2578,234,2.6333
9,180,BTBR T+tf/J,SHAM,1769,131.6,33,1355,414,8.1667
9,181,BTBR T+tf/J,OVX,1271,127,3,1245,26,0.9
9,183,C3H/HeJ,SHAM,982,101.7,32,719,262,13.0667
9,185,C3H/HeJ,SHAM,706,87.3,23,606,102,6.2
9,187,C57L/J,SHAM,1740,162.3,22,1214,526,18.75
9B,191,NON/ShiLtJ,SHAM,2444,224.2,70,1834,609,10.45
9B,192,NON/ShiLtJ,OVX,2291,208,66,1555,736,13.65
9B,193,NON/ShiLtJ,SHAM,2700,255.8,72,1883,818,14.1
9B,194,NON/ShiLtJ,OVX,2999,295.2,82,2019,981,17.05
10,195,DBA/2J,SHAM,1110,86.3,23,1099,10,0.9667
10,196,DBA/2J,SHAM,1241,124.7,14,1216,24,1.6167
10,197,DBA/2J,OVX,1041,76.2,22,1039,2,0.1667
10,198,DBA/2J,OVX,660,71.6,8,626,34,3
10,199,C57BL/6J,SHAM,1184,117.5,56,978,207,8.75
10,201,NOD/ShiLtJ,SHAM,3282,237.3,92,2022,1261,16.9333
10,202,NOD/ShiLtJ,OVX,2853,240,66,1611,1242,20.3333
10,203,NOD/ShiLtJ,OVX,4002,304.3,98,2524,1480,26.9667
10,204,NOD/ShiLtJ,SHAM,3903,293.1,79,2140,1763,26.3333
10,205,LP/J,SHAM,1068,102.9,9,1055,11,1.15
10,206,LP/J,OVX,1097,107.4,10,1096,1,0.0667
10,208,LP/J,SHAM,1670,163.6,18,1449,220,4.1167
10B,209,FVB/NJ,OVX,2275,205.4,84,1448,826,12.0667
10B,210,FVB/NJ,SHAM,2680,192.7,123,1554,1126,15.1167
10B,211,FVB/NJ,OVX,2452,218.6,129,1470,981,20.0833
10B,212,FVB/NJ,SHAM,2468,188.5,113,1757,711,15
10C,213,NOR/LtJ,SHAM,3159,243.2,104,2112,1047,19.7
10C,214,NOR/LtJ,SHAM,4209,304.1,103,2831,1379,18.9
11,217,C57BL/6J,OVX,2592,210.4,82,2035,558,12.85
11,219,129S1/SvlmJ,SHAM,1705,154.6,8,1610,96,2.8
11,220,129S1/SvlmJ,OVX,1016,99.5,3,1015,1,0.1667
11,221,129S1/SvlmJ,SHAM,930,105.9,1,926,4,0.5667
11,222,129S1/SvlmJ,OVX,1373,149.6,1,1250,124,4.05
11,223,SJL/J,OVX,1292,117.8,49,1271,22,1.0333
11,224,SJL/J,OVX,1696,153.8,62,1294,404,8.95
11,225,SJL/J,SHAM,2167,177.8,73,1608,559,8.8
11,226,SJL/J,SHAM,1406,144.2,59,1311,97,3.5
11B,227,PL/J,OVX,2050,185,116,1399,650,12.2167
11B,228,PL/J,OVX,3380,252.8,116,2173,1205,19.4667
11B,229,PL/J,SHAM,3141,244.8,125,1965,1175,18.9
11B,230,PL/J,SHAM,3010,213.1,107,2323,687,6.9833
11B,231,SM/J,SHAM,3749,294.1,10,3205,542,10.4167
11B,232,SM/J,OVX,2986,260.8,21,2800,186,5.15
11B,233,SM/J,SHAM,2112,202.1,24,1836,276,8.2833
11C,235,SWR/J,OVX,1857,164.5,97,1338,519,19.4667
11C,236,SWR/J,OVX,3345,243.3,105,1765,1580,21.25
11C,237,SWR/J,SHAM,2853,238.3,127,1830,1023,16.2333
11C,238,SWR/J,SHAM,2391,224.8,96,1477,915,15.95
12,240,C57BL/6J,OVX,2359,205.1,81,1574,785,12.6167
12,241,BALB/cByJ,OVX,2444,218.8,31,2344,100,4
12,242,BALB/cByJ,OVX,1992,152.8,28,1943,47,1.1
12,243,BALB/cByJ,SHAM,2165,186.1,27,1969,197,5.2167
12,244,BALB/cByJ,SHAM,1718,148,21,1614,104,1.2833
12,245,NON/ShiLtJ,OVX,1728,159.9,50,1521,207,5.9167
12,246,NON/ShiLtJ,SHAM,4270,310.9,127,2983,1288,16.4833
12,247,NON/ShiLtJ,SHAM,2128,210,65,1628,499,9.4333
12,248,NON/ShiLtJ,OVX,2745,240.1,103,1851,894,13.2
12,249,BTBR T+tf/J,SHAM,2374,191.8,22,2098,277,3.0667
12,250,BTBR T+tf/J,OVX,2724,209.7,51,2156,568,7.3333
12,251,BTBR T+tf/J,SHAM,3775,281.6,62,3100,672,7.7333
12,252,BTBR T+tf/J,OVX,2172,158.8,45,1827,344,2.7333
12,255,MRL/MpJ,SHAM,1898,182.3,67,1731,167,7.1333
12,256,MRL/MpJ,SHAM,2463,252.5,23,2291,173,4.1333
12,257,C3H/HeJ,SHAM,1833,157.8,46,1356,477,9.5667
12,258,C3H/HeJ,SHAM,1160,135,46,736,425,18.8833
12,259,C3H/HeJ,OVX,1592,148.8,66,1061,530,11.7167
12,260,C3H/HeJ,OVX,1177,119.5,25,1088,90,3.0667
13B,271,NOD/ShiLtJ,OVX,3078,210.6,115,1814,1264,15.5333
13B,275,NOR/LtJ,OVX,2021,171.5,31,1397,624,20.4333
13B,276,NOR/LtJ,SHAM,2211,206.4,40,1399,813,17.1333
13B,277,NOR/LtJ,SHAM,1986,206.7,36,1078,907,25.1667
13C,279,FVB/NJ,SHAM,2546,203.6,91,1725,822,10.35
13C,280,FVB/NJ,SHAM,2473,217.6,112,1534,938,17.0167
13C,281,FVB/NJ,OVX,2732,228.4,138,1887,844,15.0667
13C,282,FVB/NJ,OVX,2073,194,114,1402,671,11.55
14,283,A/J,OVX,157,25.4,8,157,0,0
14,284,A/J,OVX,101,19.7,7,101,0,0
14,285,A/J,SHAM,423,68.3,11,420,3,0.3167
14,286,A/J,SHAM,66,10.8,9,66,0,0
14,287,C57BL/6J,SHAM,3177,240.4,59,2061,1114,15.0833
14,288,C57BL/6J,OVX,2464,230.6,62,1663,800,13.6833
14,289,C57BL/6J,SHAM,3528,270.8,122,2449,1081,11.0833
14,290,C57BL/6J,SHAM,3376,253.4,71,2241,1133,14.5
14,291,129S1/SvlmJ,SHAM,1097,116.2,5,1096,1,0.0333
14,292,129S1/SvlmJ,OVX,1365,136.2,0,1365,0,0
14,293,129S1/SvlmJ,SHAM,1358,147.8,6,1358,0,0
14,294,129S1/SvlmJ,OVX,926,113.6,2,925,1,0.0667
14,295,C57L/J,SHAM,1894,199.7,53,900,993,31.7167
14,296,C57L/J,SHAM,2750,231.7,94,1428,1319,26.2
14,297,C57L/J,SHAM,1707,155,73,1098,610,21.2667
14,298,C57L/J,OVX,2920,254.4,47,1783,1138,21.7167
14B,299,CBA/J,SHAM,1077,124.6,15,904,173,7.5833
14B,300,CBA/J,SHAM,1350,141.9,49,1064,286,10.95
14B,301,CBA/J,OVX,836,98.1,9,722,114,6.3667
14B,302,CBA/J,OVX,772,89.7,18,704,68,6.4167
15,303,BALB/cByJ,SHAM,1911,185.4,35,1854,57,1.8667
15,304,BALB/cByJ,OVX,1856,192,36,1382,474,9.6667
