BATCH,ANIMAL.ID,STRAIN,TREATMENT,PctImb
2,24,C57BL/6J,OVX,32.6359828
2,26,CBA/J,OVX,1.170894733
2,28,CBA/J,OVX,13.19018369
2,30,DBA/2J,OVX,14.89539887
2,31,DBA/2J,OVX,2.28603329
2,34,FVB/NJ,OVX,1.059380989
2,36,FVB/NJ,OVX,0.2787845
2,38,LP/J,OVX,2.955115478
2,40,LP/J,OVX,34.10549871
2,42,NOD/ShiLtJ,OVX,29.52327683
2,43,NOD/ShiLtJ,OVX,26.39508831
3,46,C57BL/6J,OVX,55.40992745
3,48,C57BL/6J,OVX,24.37255849
3,49,PL/J,OVX,21.17745593
3,55,SJL/J,OVX,6.222098402
3,56,SJL/J,OVX,11.60390438
3,58,SM/J,OVX,1.56162945
3,60,SM/J,OVX,2.03512646
4,84,129S1/SvlmJ,OVX,6.27615176
4,86,129S1/SvlmJ,OVX,4.743303587
4,72,NON/ShiLtJ,OVX,36.87883858
4,73,NON/ShiLtJ,OVX,18.66629381
4,76,NZW/LacJ,OVX,37.05357022
4,78,NZW/LacJ,OVX,16.31799196
5,88,A/J,OVX,53.93195712
5,89,A/J,OVX,34.47698732
5,91,AKR/J,OVX,61.96318943
5,94,AKR/J,OVX,59.14038639
5,102,MRL/MpJ,OVX,49.9721133
5,103,MRL/MpJ,OVX,48.74511796
6,122,C57BL/6J,OVX,28.25662591
6,109,CBA/J,OVX,0.027878506
6,112,CBA/J,OVX,0
6,115,DBA/2J,OVX,0.41817675
6,116,DBA/2J,OVX,4.237523677
6,118,LP/J,OVX,13.39285687
6,119,LP/J,OVX,27.10776169
6,124,NOD/ShiLtJ,OVX,0.446055534
6,126,NOD/ShiLtJ,OVX,0.334541511
7,136,NOR/LtJ,OVX,33.57541883
7,141,PL/J,OVX,3.430006309
7,143,SJL/J,OVX,30.35714276
7,144,SJL/J,OVX,9.040177963
7,149,SM/J,OVX,10.34002264
7,150,SM/J,OVX,1.560758697
8,161,129S1/SvlmJ,OVX,18.88423894
8,163,129S1/SvlmJ,OVX,20.25669739
8,153,A/J,OVX,10.65253695
8,154,A/J,OVX,23.59017209
8,155,C57BL/6J,OVX,25.92075972
9,169,BALB/cByJ,OVX,48.4104865
9,171,BALB/cByJ,OVX,34.30086611
9,181,BTBR T+tf/J,OVX,4.182934754
10,197,DBA/2J,OVX,18.59170712
10,198,DBA/2J,OVX,9.440267552
10,206,LP/J,OVX,42.41832062
11,220,129S1/SvlmJ,OVX,24.25425123
